_class	n_cells	Sst	Chrna2	Ndnf	Nkx2-1	Nos1	Tac1	Pvalb	subfamily
Cacna2d1.Lhx6.Reln	270	0.219	0.004	0.026	0.311	2.578	0.119	0.170	non_Sst
Sst.Pnoc.Calb1.Igfbp5	264	88.034	0.140	0.042	0.000	0.144	0.008	0.080	Sst_other
Sst.Npy.Serpine2	171	139.316	0.053	0.749	0.000	0.070	0.023	0.643	Sst_other
Sst.Pnoc.Calb1.Pvalb	158	151.076	0.323	0.399	0.000	0.044	0.000	0.500	Chrna2
Calb2.Vip.Gpd1	121	0.099	0.000	0.000	0.000	0.347	0.008	0.116	non_Sst
Cck.Cxcl14.Slc17a8	119	2.454	0.000	0.101	0.000	0.496	0.000	0.294	Sst_other
Cck.Cxcl14.Calb1.Tnfaip8l3	118	0.339	0.000	0.746	0.000	0.441	0.025	0.144	non_Sst
Pvalb.C1ql1.Pvalb	115	0.261	0.000	0.000	0.070	0.209	0.304	23.330	non_Sst
Cacna2d1.Ndnf.Rgs10	106	0.330	0.000	3.811	0.000	0.377	0.000	0.066	non_Sst
Calb2.Vip.Igfbp4	101	0.158	0.000	0.040	0.000	0.416	0.000	0.000	non_Sst
Sst.Pnoc.Pvalb	93	60.269	0.032	0.043	0.000	0.516	0.075	2.097	Sst_other
Cacna2d1.Lhx6.Vwa5a	86	0.349	0.000	0.000	0.140	3.872	0.000	0.047	non_Sst
Sst.Npy.Zbtb20	85	80.929	0.000	0.024	0.000	0.188	0.012	0.553	Sst_other
Cacna2d1.Ndnf.Npy	85	0.165	0.000	1.400	0.000	0.353	0.000	0.035	non_Sst
Pvalb.Tac1.Syt2	83	0.253	0.000	0.012	0.000	0.880	4.133	34.843	non_Sst
Pvalb.Tac1.Sst	76	16.829	0.000	0.026	0.026	0.395	7.553	6.053	Sst_Tac1
Ntng1.Chrm2	74	0.230	0.000	0.000	0.000	0.000	0.000	0.041	non_Sst
Cck.Cxcl14.Calb1.Igfbp5	72	0.444	0.000	0.792	0.000	0.722	0.014	0.208	non_Sst
Ntng1.Rgs10	72	0.319	0.000	5.542	0.000	0.014	0.000	0.222	non_Sst
Cck.Cxcl14.Vip	72	0.111	0.000	0.000	0.000	0.014	0.000	0.042	non_Sst
Cck.Sema5a	71	0.296	0.000	0.197	0.000	0.014	0.000	0.141	non_Sst
Sst.Npy.Cort	69	103.507	0.000	0.000	0.000	0.261	0.391	0.797	Sst_other
Pvalb.C1ql1.Cpne5	67	0.194	0.000	0.045	0.403	0.090	0.015	5.403	non_Sst
Cck.Lmo1.Npy	66	0.530	0.000	0.091	0.015	0.167	0.000	0.136	non_Sst
Sst.Npy.Mgat4c	61	104.967	0.197	0.115	0.000	0.197	0.000	0.098	Sst_other
Cck.Lmo1.Vip.Crh	61	0.148	0.000	0.000	0.000	0.033	0.000	0.115	non_Sst
Calb2.Vip.Nos1	60	0.150	0.000	0.000	0.000	2.300	0.000	0.033	non_Sst
Cck.Lmo1.Vip.Fam19a2	58	0.207	0.000	0.000	0.000	0.086	0.000	0.207	non_Sst
Pvalb.Tac1.Akr1c18	57	1.561	0.000	0.000	0.018	0.386	3.246	55.158	Sst_Tac1
Vip.Crh.Pcp4	56	0.179	0.000	0.000	0.000	0.107	0.000	0.607	non_Sst
Pvalb.Tac1.Nr4a2	52	0.769	0.000	0.000	0.000	1.250	3.692	2.231	non_Sst
Calb2.Cntnap5a.Vip	51	0.059	0.000	0.000	0.000	0.078	0.000	0.059	non_Sst
Calb2.Cntnap5a.Rspo3	50	0.120	0.000	0.000	0.000	0.120	0.000	0.060	non_Sst
Calb2.Cryab	50	0.200	0.000	0.640	0.000	0.100	0.000	0.000	non_Sst
Cck.Lmo1.Vip.Tac2	49	0.204	0.000	0.000	0.000	0.082	0.020	0.347	non_Sst
Cck.Cxcl14.Calb1.Kctd12	48	0.458	0.000	0.333	0.000	0.500	0.000	0.083	non_Sst
Ntng1.Synpr	48	0.812	0.021	6.521	0.000	0.250	0.000	0.083	non_Sst
Cacna2d1.Ndnf.Cxcl14	47	0.170	0.000	1.979	0.000	0.149	0.000	0.021	non_Sst
Cck.Cxcl14.Calb1.Tac2	36	0.167	0.000	0.000	0.000	0.083	0.000	0.111	non_Sst
Sst.Nos1	35	120.429	0.000	0.000	0.000	38.714	0.000	0.000	Sst_Nos1
Sst.Erbb4.Th	34	11.324	0.000	0.000	0.000	0.294	5.882	0.294	Sst_Tac1
Cck.Calca	31	0.194	0.000	0.000	0.000	0.000	0.000	0.129	non_Sst
Pvalb.C1ql1.Npy	29	0.241	0.000	0.000	0.276	0.724	0.931	2.241	non_Sst
Sst.Erbb4.Rgs10	27	26.481	0.000	0.074	0.000	0.000	3.259	2.296	Sst_Tac1
Sst.Cryab	27	24.778	0.148	2.407	0.037	1.889	0.000	0.185	Ndnf
Calb2.Cntnap5a.Igfbp6	25	0.000	0.000	0.000	0.000	0.000	0.000	0.000	non_Sst
Sst.Erbb4.Crh	22	26.364	0.000	0.000	0.000	0.682	0.318	0.318	Sst_other
Vip.Crh.C1ql1	18	0.167	0.000	0.000	0.000	0.389	0.000	0.000	non_Sst
Cck.Lypd1	17	0.176	0.000	0.000	0.000	1.176	0.000	0.000	non_Sst
